family_he_name ,family_en_name ,family_en_synonym
אברתיים,Pteridaceae,
אדמוניתיים,Paeoniaceae,
אירוסיים,Iridaceae,
אלטיניים,Elatinaceae,
אלף-העלה,Haloragaceae,
אלתיים,Anacardiaceae,
אספלניים,Aspleniaceae,
אסקלפיים,Asclepiadaceae,
ארכוביתיים,Polygonaceae,
ארכובתיים,Polygonaceae,
אשחריים,Rhamnaceae,
בוציציים,Butomaceae,
בקעצוריים,Saxifragaceae,
ברושיים,Cupressaceae,
גומאיים,Cyperaceae,
גפיתיים,Thelypteridaceae,
גרניים,Geraniaceae,
דגניים,Gramineae,Poaceae
דולביים,Platanaceae,
דלועיים,Cucurbitaceae,
דקליים,Palmae,Arecaceae
הדסיים,Myrtaceae,
הרדופיים,Apocynaceae,
ולרייניים,Valerianaceae,
ורדיים,Rosaceae,
זוגניים,Zygophyllaceae,
זיפניים,Boraginaceae,
חבלבליים,Convolvulaceae,
חוטיים,Zannichelliaceae,
חייעדיים,Aizoaceae,
חלבלוביים,Euphorbiaceae,
חלמיתיים,Malvaceae,
חשפוניתיים,Gymnogrammaceae,
טבוריתיים,Crassulaceae,
טובעניתיים,Callitrichaceae,
טליתיים,Tiliaceae,
כדורניים,Sparganiaceae,
כופריים,Lythraceae,
כף-הצפרדע,Alismataceae,
לוטמיים,Cistaceae,
לועניתיים,Scrophulariaceae,
לופיים,Araceae,
לחכיים,Plantaginaceae,
לילניים,Nyctaginaceae,
לשון-האפעה,Ophioglossaceae,
מורינגיים,Moringaceae,
מורכבים,Compositae,Asteraceae
מימוניים,,
מצליבים,Cruciferae,Brassicaceae
מרסיליים,Marsileaceae,
נאדידיים,Lentibulariaceae,
נהרוניתיים,Potamogetonaceae,
נופריים,Nymphaeaceae,
נוריתיים,Ranunculaceae,
נר-הלילה,Onagraceae,
נרקיסיים,Amaryllidaceae,
סוככיים,Umbelliferae,Apiaceae
סחלביים,Orchidaceae,
סיגליים,Violaceae,
סלקיים,Chenopodiaceae,
סמריים,Juncaceae,
סרפדיים,Urticaceae,
עדשת-המים,Lemnaceae,
עופריתיים,Plumbaginaceae,
עלקתיים,Orobanchaceae,
ערבזיים,Gentianaceae,
עשנניים,Fumariaceae,
פואתיים,Rubiaceae,
פיגמיים,Rutaceae,
פעמוניתיים,Campanulaceae,
פרגיים,Papaveraceae,
פרעיים,Hypericaceae,Clusiaceae
פרפרניים,Papilionaceae,Fabaceae
פשתיים,Linaceae,
ציפורניים,Caryophyllaceae,
צלפיים,Capparaceae,
קרנניים,Ceratophyllaceae,
רכפתיים,Resedaceae,
רקפתיים,Primulaceae,
שושניים,Liliaceae,
שפתניים,Labiatae,Lamiaceae
שרביטניים,Ephedraceae,
תותיים,Moraceae,
